,TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I,Wheel_Speed,Power,Incremental_Energy,Total_Energy,adjusted_time_ms,time_on_video
3863,1718634565212.0112,26.4672,515.811,481.864,3.4926999999999997,3.711140694656236,1801.5730796999999,16.214157717299997,11359.923994433333,33166450.231915276,552:46.45
3864,1718634565221.0107,26.6,515.288,467.989,3.2908000000000004,3.60428050767743,1695.7097504000003,15.261387753600001,11375.185382186934,33166457.950188477,552:46.46
3865,1718634565230.0107,26.4664,514.466,472.351,3.17066,3.637875039973037,1631.19676756,14.680770908039998,11389.866153094974,33166465.668461677,552:46.47
3866,1718634565239.0105,26.4,514.423,493.475,3.08568,3.80056437977414,1587.34476264,14.286102863759998,11404.152255958734,33166473.386734877,552:46.47
3867,1718634565248.0103,25.8658,514.99,517.804,3.27872,3.9879374600629585,1688.5080128,15.196572115199999,11419.348828073933,33166481.105008077,552:46.48
3868,1718634565257.01,25.6,515.634,541.36,3.47176,4.169357176421355,1790.1574958400001,16.11141746256,11435.460245536493,33166488.823281277,552:46.49
3869,1718634565266.0095,25.6,515.566,552.557,3.64519,4.255592384608865,1879.33602754,16.91402424786,11452.374269784354,33166496.541554477,552:46.50
3870,1718634565275.0095,25.6,515.634,545.207,3.8161799999999997,4.198985366641713,1967.7521581199999,17.709769423079997,11470.084039207433,33166504.25982768,552:46.50
3871,1718634565284.0093,25.6,514.954,525.085,3.77942,4.044013065208378,1946.2274466799997,17.516047020119995,11487.600086227554,33166511.97810088,552:46.51
3872,1718634565293.009,26.1341,515.035,498.416,3.57717,3.8386181587912405,1842.36775095,16.58130975855,11504.181395986105,33166519.69637408,552:46.52
3873,1718634565302.0088,26.4,515.199,481.548,3.3992600000000004,3.708706977965403,1751.29535274,15.761658174659999,11519.943054160765,33166527.41464728,552:46.53
3874,1718634565311.0083,26.4,515.078,481.896,3.2516599999999998,3.711387146979358,1674.8585294799998,15.073726765319996,11535.016780926086,33166535.13292048,552:46.54
3875,1718634565320.0083,26.4,514.577,493.904,3.15383,3.803868381230998,1622.8883799100001,14.60599541919,11549.622776345275,33166542.85119368,552:46.54
3876,1718634565329.008,25.1984,514.612,515.468,3.22926,3.9699464404750313,1661.81594712,14.956343524079998,11564.579119869355,33166550.56946688,552:46.55
3877,1718634565338.0078,25.401,515.211,534.79,3.30468,4.11875743383031,1702.60748748,15.323467387319997,11579.902587256674,33166558.28774008,552:46.56
3878,1718634565347.0076,25.8,515.189,546.564,3.51235,4.209436485469117,1809.52408415,16.28571675735,11596.188304014024,33166566.00601328,552:46.57
3879,1718634565356.007,26.2005,514.377,549.331,3.7363899999999997,4.230746909784099,1921.9130790299996,17.297217711269994,11613.485521725293,33166573.72428648,552:46.57
3880,1718634565365.007,26.4,514.523,537.429,3.7352,4.139082048852801,1921.8463096,17.296616786399998,11630.782138511693,33166581.442559686,552:46.58
3881,1718634565374.0068,25.1986,515.712,519.543,3.6699499999999996,4.001330603497636,1892.6372543999998,17.033735289599996,11647.815873801293,33166589.160832886,552:46.59
3882,1718634565383.0063,24.6,516.868,499.205,3.50797,3.844694748883225,1813.1574379600002,16.31841694164,11664.134290742933,33166596.879106086,552:46.60
3883,1718634565392.0063,25.1339,515.842,486.775,3.26883,3.74896342462041,1686.1998048599999,15.175798243739997,11679.310088986673,33166604.597379286,552:46.60
3884,1718634565401.0059,25.4,515.49,491.118,3.09263,3.782411625849163,1594.2198387,14.3479785483,11693.658067534972,33166612.315652486,552:46.61
3885,1718634565410.0056,24.9996,515.811,504.343,3.13583,3.884265750014548,1617.4956081300002,14.55746047317,11708.215528008142,33166620.033925686,552:46.62
3886,1718634565419.0051,25.3338,514.888,526.016,3.179,4.051183287484217,1636.828952,14.731460568,11722.946988576143,33166627.752198886,552:46.63
3887,1718634565428.0051,25.6,513.677,546.898,3.41268,4.212008831591707,1753.01522436,15.77713701924,11738.724125595383,33166635.470472086,552:46.64
3888,1718634565437.005,25.7334,513.6,557.893,3.64623,4.2966883094895065,1872.7037280000002,16.854333552,11755.578459147384,33166643.188745286,552:46.64
3889,1718634565446.0046,25.8,514.0,556.551,3.7529899999999996,4.286352715188565,1929.0368599999997,17.361331739999997,11772.939790887383,33166650.90701849,552:46.65
3890,1718634565455.0044,26.2003,514.612,538.543,3.82363,4.147661670351496,1967.6858815599999,17.709172934039998,11790.648963821423,33166658.62529169,552:46.66
3891,1718634565464.004,26.4,514.933,515.88,3.7364,3.9731195141352313,1923.9956612,17.3159609508,11807.964924772223,33166666.34356489,552:46.67
3892,1718634565473.004,26.1332,514.578,498.66,3.52311,3.8404973577550483,1812.91489758,16.31623407822,11824.281158850443,33166674.06183809,552:46.67
3893,1718634565482.0037,25.7332,515.012,491.444,3.3439,3.7849223588909715,1722.1486267999999,15.499337641199999,11839.780496491643,33166681.78011129,552:46.68
3894,1718634565491.0034,25.6,515.0,499.895,3.2327600000000003,3.850008877100549,1664.8714000000002,14.983842600000001,11854.764339091644,33166689.49838449,552:46.69
3895,1718634565500.0032,25.7334,515.323,517.562,3.1584299999999996,3.986073664369347,1627.6116228899998,14.648504606009997,11869.412843697653,33166697.21665769,552:46.70
3896,1718634565509.0027,25.8,515.289,540.453,3.37757,4.162371793387857,1740.42466773,15.66382200957,11885.076665707224,33166704.93493089,552:46.70
3897,1718634565518.0027,25.6666,514.578,560.338,3.59672,4.315518807303069,1850.7929841599998,16.657136857439998,11901.733802564664,33166712.65320409,552:46.71
3898,1718634565527.0024,25.6,514.622,566.444,3.7303699999999997,4.36254499120884,1919.7304701399996,17.277574231259994,11919.011376795925,33166720.371477295,552:46.72
3899,1718634565536.002,25.3332,515.078,558.775,3.8533600000000003,4.303481151645564,1984.78096208,17.86302865872,11936.874405454644,33166728.089750495,552:46.73
3900,1718634565545.002,25.2,515.189,537.438,3.78664,4.13915136356868,1950.8352749599997,17.557517474639994,11954.431922929283,33166735.808023695,552:46.74
3901,1718634565554.0017,25.0666,515.711,514.441,3.56827,3.962036861229826,1840.19608997,16.56176480973,11970.993687739014,33166743.526296895,552:46.74
3902,1718634565563.0015,24.8666,515.811,500.999,3.3707800000000003,3.8585114822482685,1738.6854025800003,15.648168623220002,11986.641856362234,33166751.244570095,552:46.75
3903,1718634565572.0012,24.8,515.278,500.334,3.19936,3.853389894908383,1648.55982208,14.837038398719999,12001.478894760954,33166758.962843295,552:46.76
3904,1718634565581.0007,24.9333,516.156,515.78,3.06654,3.9723493506254735,1582.8130202399998,14.245317182159997,12015.724211943114,33166766.681116495,552:46.77
3905,1718634565590.0005,25.0,516.278,538.223,3.24227,4.145197147120273,1673.91267106,15.065214039539999,12030.789425982653,33166774.399389695,552:46.77
3906,1718634565599.0002,25.0,515.589,560.778,3.418,4.318907526746,1762.2832020000003,15.860548818000002,12046.649974800654,33166782.117662895,552:46.78
3907,1718634565608.0,25.0,515.0,574.889,3.63985,4.427585299607832,1874.52275,16.870704749999998,12063.520679550653,33166789.8359361,552:46.79
3908,1718634565616.9995,25.2667,514.156,571.334,3.86169,4.4002059868359655,1985.5110836399997,17.869599752759996,12081.390279303412,33166797.5542093,552:46.80
3909,1718634565625.9995,25.2667,513.911,553.779,3.81834,4.265003782698097,1962.2869277399998,17.660582349659997,12099.050861653071,33166805.2724825,552:46.81
3910,1718634565634.9993,25.2,514.833,526.78,3.6992,4.057067336698761,1904.4702335999998,17.140232102399995,12116.191093755471,33166812.9907557,552:46.81
3911,1718634565643.999,24.9334,515.389,505.224,3.51219,3.8910508905355083,1810.14409191,16.29129682719,12132.482390582662,33166820.7090289,552:46.82
3912,1718634565652.9988,24.8,515.022,499.0,3.2403000000000004,3.8431159136882225,1668.8257866000004,15.019432079400001,12147.501822662061,33166828.4273021,552:46.83
3913,1718634565661.9983,25.3332,514.356,507.886,3.10203,3.911552643165244,1595.54774268,14.359929684119999,12161.861752346182,33166836.1455753,552:46.84
3914,1718634565670.9983,25.6,515.055,531.106,3.2311799999999997,4.090384610130855,1664.2354148999998,14.978118734099997,12176.839871080281,33166843.8638485,552:46.84
3915,1718634565679.998,25.6,515.289,555.662,3.37357,4.279505961586824,1738.36351173,15.645271605569999,12192.485142685851,33166851.5821217,552:46.85
3916,1718634565688.9978,25.6,514.245,574.996,3.6221300000000003,4.428409374563272,1862.66224185,16.76396017665,12209.2491028625,33166859.300394904,552:46.86
3917,1718634565697.9976,25.0669,514.633,580.224,3.87069,4.468673522853378,1991.9848067700002,17.92786326093,12227.17696612343,33166867.018668104,552:46.87
3918,1718634565706.9973,25.7329,514.356,568.005,3.8959099999999998,4.37456724359615,2003.8846839599998,18.03496215564,12245.21192827907,33166874.736941304,552:46.87
