,TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I,Wheel_Speed,Power,Incremental_Energy,Total_Energy,adjusted_time_ms,time_on_video
15160,1718634666882.1208,34.9,504.264,1229.18,8.908430000000001,9.466695829233046,4492.200545520001,40.42980490968,205253.55849228086,31763325.228549466,529:23.33
15161,1718634666891.1206,34.9,503.547,1247.88,9.53627,9.610716405557636,4801.96014969,43.21764134721,205296.77613362807,31763334.097333096,529:23.33
15162,1718634666900.1204,34.6226,503.606,1251.17,10.164100000000001,9.636054785028644,5118.701744600001,46.0683157014,205342.84444932948,31763342.96611673,529:23.34
15163,1718634666909.12,34.1,503.088,1235.4,10.290299999999998,9.514599999539941,5176.9264464,46.59233801759999,205389.43678734708,31763351.83490036,529:23.35
15164,1718634666918.1199,33.9613,502.659,1206.46,10.1805,9.291714679816218,5117.3199495,46.0558795455,205435.4926668926,31763360.70368399,529:23.36
15165,1718634666927.1196,33.7,503.9,1176.58,9.84643,9.061589823100778,4961.616077,44.65454469299999,205480.1472115856,31763369.572467625,529:23.37
15166,1718634666936.1191,34.5318,505.153,1159.24,9.24659,8.92804347050889,4670.94267827,42.03848410443,205522.18569569004,31763378.441251256,529:23.38
15167,1718634666945.1191,36.3079,504.482,1165.18,8.8556,8.973791182988464,4467.490799200001,40.2074171928,205562.39311288286,31763387.31003489,529:23.39
15168,1718634666954.119,36.7,502.565,1189.53,9.14269,9.161325997614332,4594.79599985,41.35316399865,205603.74627688152,31763396.17881852,529:23.40
15169,1718634666963.1187,35.7991,501.8,1220.83,9.43226,9.402387176168322,4733.108068,42.59797261199999,205646.34424949353,31763405.047602154,529:23.41
15170,1718634666972.1184,34.1,502.247,1245.59,9.90745,9.593079661184193,4975.98704015,44.78388336135,205691.12813285488,31763413.916385785,529:23.41
15171,1718634666981.118,34.1,503.606,1251.65,10.3826,9.639751569875479,5228.7396556,47.0586569004,205738.18678975527,31763422.785169415,529:23.42
15172,1718634666990.1177,34.1,503.441,1239.06,10.335,9.542787983997053,5203.062735,46.827564615,205785.01435437027,31763431.65395305,529:23.43
15173,1718634666999.1174,33.4072,504.206,1218.29,10.1492,9.38282502302049,5117.2875352,46.0555878168,205831.06994218708,31763440.52273668,529:23.44
15174,1718634667008.1172,32.1,505.2,1202.06,9.650120000000001,9.257827485386903,4875.240624,43.877165616,205874.94710780308,31763449.391520314,529:23.45
15175,1718634667017.1167,32.2385,504.847,1202.29,8.91343,9.259598861459345,4499.91839521,40.49926555689,205915.44637335997,31763458.260303944,529:23.46
15176,1718634667026.1167,33.1926,503.888,1219.35,8.46675,9.390988756223917,4266.293723999999,38.39664351599999,205953.84301687597,31763467.129087575,529:23.47
15177,1718634667035.1165,34.5,504.053,1244.7,8.96316,9.586225205947356,4517.90768748,40.66116918732,205994.50418606328,31763475.99787121,529:23.48
15178,1718634667044.1162,33.1496,502.694,1259.76,9.42038,9.702211830516784,4735.56850372,42.62011653348,206037.12430259676,31763484.86665484,529:23.48
15179,1718634667053.116,30.6,503.353,1252.89,9.60083,9.649301597396468,4832.60658299,43.49345924690999,206080.61776184366,31763493.735438474,529:23.49
15180,1718634667062.1155,30.3923,504.359,1224.3,9.781270000000001,9.429111849956895,4933.27155593,44.39944400337,206125.01720584702,31763502.604222104,529:23.50
15181,1718634667071.1155,30.0,504.3,1189.89,9.08484,9.164098586249459,4581.484812,41.233363307999994,206166.25056915503,31763511.473005734,529:23.51
15182,1718634667080.1152,30.5884,505.859,1169.29,8.292860000000001,9.005444903239482,4195.0178667400005,37.75516080066,206204.00572995568,31763520.34178937,529:23.52
15183,1718634667089.1147,32.0461,506.442,1171.46,7.95908,9.022157451401213,4030.81239336,36.27731154024,206240.28304149592,31763529.210573,529:23.53
15184,1718634667098.1147,32.7,505.6,1193.28,7.9732899999999995,9.190207129230226,4031.295424,36.281658816,206276.56470031192,31763538.079356633,529:23.54
15185,1718634667107.1145,32.2501,505.154,1223.81,8.2614,9.425338048759084,4173.2792556,37.5595133004,206314.12421361232,31763546.948140264,529:23.55
15186,1718634667116.1143,31.4,503.348,1249.29,8.87474,9.62157571104521,4467.0826295199995,40.203743665679994,206354.327957278,31763555.816923894,529:23.56
15187,1718634667125.114,31.4,502.247,1258.83,9.37833,9.695049309876044,4710.23810751,42.39214296759,206396.72010024558,31763564.68570753,529:23.56
15188,1718634667134.1135,31.4,502.893,1249.83,9.524469999999999,9.625734593997898,4789.789291709999,43.10810362538999,206439.82820387097,31763573.55449116,529:23.57
15189,1718634667143.1135,30.7773,504.711,1226.42,9.67061,9.445439316363748,4880.8632437100005,43.92776919339,206483.75597306437,31763582.423274793,529:23.58
15190,1718634667152.1133,29.6,505.447,1199.13,9.03893,9.235261694551019,4568.7000517100005,41.11830046539,206524.87427352977,31763591.292058423,529:23.59
15191,1718634667161.113,30.6723,505.295,1178.12,8.32226,9.07345034115104,4205.1963667,37.846767300299994,206562.72104083007,31763600.160842057,529:23.60
15192,1718634667170.1123,33.6683,504.159,1174.58,8.27407,9.046186552905636,4171.44685713,37.54302171417,206600.26406254424,31763609.029625688,529:23.61
15193,1718634667179.1123,35.5,503.841,1188.87,8.40321,9.156242918449934,4233.88172961,38.10493556648999,206638.36899811073,31763617.89840932,529:23.62
15194,1718634667188.112,35.7075,504.3,1214.81,8.877030000000001,9.356023332880941,4476.686229000001,40.290176061000004,206678.65917417174,31763626.767192952,529:23.63
15195,1718634667197.1118,36.1,503.948,1241.46,9.61296,9.561271908231225,4844.431966079999,43.59988769471999,206722.25906186647,31763635.635976583,529:23.64
15196,1718634667206.1116,36.0309,502.706,1256.23,10.3081,9.675025058622355,5181.9437186,46.63749346739999,206768.89655533386,31763644.504760217,529:23.64
15197,1718634667215.111,35.9,502.259,1253.72,10.7141,9.655693954527452,5381.2531519,48.4312783671,206817.32783370095,31763653.373543847,529:23.65
15198,1718634667224.111,35.3469,501.894,1236.9,11.1075,9.526152452186297,5574.787605,50.173088445,206867.50092214596,31763662.242327478,529:23.66
15199,1718634667233.1108,35.1296,502.388,1211.84,10.5018,9.333149476641154,5275.978298399999,47.48380468559999,206914.98472683155,31763671.111111112,529:23.67
15200,1718634667242.1104,36.7,503.164,1194.06,9.89616,9.19621440460633,4979.39145024,44.81452305216,206959.7992498837,31763679.979894742,529:23.68
15201,1718634667251.1104,37.5985,503.794,1193.81,9.79993,9.194288995831936,4937.145934419999,44.43431340977999,207004.2335632935,31763688.848678377,529:23.69
15202,1718634667260.11,39.3,503.701,1207.69,9.83908,9.301187690986232,4955.95443508,44.60358991571999,207048.83715320923,31763697.717462007,529:23.70
15203,1718634667269.1099,39.3,502.001,1227.69,10.2113,9.455220392937663,5126.0828113,46.13474530169999,207094.97189851094,31763706.586245637,529:23.71
15204,1718634667278.1096,39.3,500.747,1245.58,10.837,9.593002644833218,5426.595239,48.839357151,207143.81125566195,31763715.45502927,529:23.72
15205,1718634667287.1091,39.8873,500.806,1254.47,11.4237,9.661470180850632,5721.0575022,51.489517519799996,207195.30077318175,31763724.323812902,529:23.72
15206,1718634667296.1091,41.0,500.687,1254.36,11.8832,9.660623000989895,5949.7637584,53.5478738256,207248.84864700734,31763733.192596536,529:23.73
15207,1718634667305.109,41.0,501.417,1245.72,12.261299999999999,9.59408087374688,6148.024262099999,55.332218358899986,207304.18086536624,31763742.061380167,529:23.74
15208,1718634667314.1086,41.2072,502.151,1231.49,12.0606,9.484486606308437,6056.2423506000005,54.5061811554,207358.68704652163,31763750.930163797,529:23.75
15209,1718634667323.1084,41.6,502.902,1217.66,11.8599,9.37797299290902,5964.3674298,53.679306868199994,207412.36635338984,31763759.79894743,529:23.76
15210,1718634667332.108,41.7381,501.436,1208.83,11.6953,9.309967554997463,5864.4444508,52.78000005719999,207465.14635344702,31763768.66773106,529:23.77
15211,1718634667341.108,42.0,500.806,1205.94,11.534600000000001,9.28770982956548,5776.596887600001,51.9893719884,207517.13572543542,31763777.536514696,529:23.78
15212,1718634667350.1077,42.2072,500.641,1211.34,11.5771,9.329298659092368,5795.9709211,52.163738289899996,207569.29946372533,31763786.405298326,529:23.79
15213,1718634667359.1072,42.6,501.053,1222.04,11.7157,9.411706154636382,5870.1866321,52.831679688899996,207622.13114341424,31763795.27408196,529:23.80
15214,1718634667368.1067,41.9786,500.994,1234.34,11.828700000000001,9.506436266336513,5926.107727800001,53.33496955020001,207675.46611296444,31763804.14286559,529:23.80
15215,1718634667377.1067,40.0751,501.464,1242.23,11.9115,9.567202167256353,5973.188436,53.758695924,207729.22480888845,31763813.01164922,529:23.81
15216,1718634667386.1064,38.7,501.649,1241.6,11.9421,9.562350137144884,5990.7425229,53.9166827061,207783.14149159455,31763821.880432855,529:23.82
15217,1718634667395.1062,38.7,500.547,1234.19,11.601600000000001,9.505281021071879,5807.146075200001,52.264314676800005,207835.40580627136,31763830.749216486,529:23.83
15218,1718634667404.106,38.7,501.402,1223.13,11.261700000000001,9.420100936892739,5646.6389034,50.8197501306,207886.22555640197,31763839.61800012,529:23.84
15219,1718634667413.1057,38.7,503.443,1216.3,10.982700000000001,9.367498769176322,5529.163436100001,49.7624709249,207935.98802732688,31763848.48678375,529:23.85
15220,1718634667422.1055,38.7,502.647,1214.7,10.703700000000001,9.355176153020208,5380.1826939,48.4216442451,207984.40967157198,31763857.35556738,529:23.86
15221,1718634667431.1052,36.3538,503.011,1217.94,10.2593,9.380129450736343,5160.5407523,46.4448667707,208030.85453834268,31763866.224351015,529:23.87
15222,1718634667440.1047,31.9,503.653,1220.77,9.77073,9.401925078062469,4921.05747669,44.28951729020999,208075.1440556329,31763875.093134645,529:23.88
15223,1718634667449.1047,31.5895,503.5,1220.0,9.33281,9.395994819037337,4699.069835,42.291628515,208117.4356841479,31763883.96191828,529:23.88
15224,1718634667458.1045,30.931,503.898,1220.7,8.95527,9.40138596360564,4512.54264246,40.612883782139996,208158.04856793003,31763892.83070191,529:23.89
15225,1718634667467.1042,30.8,505.364,1224.4,8.66511,9.429882013466655,4379.03465004,39.41131185036,208197.4598797804,31763901.69948554,529:23.90
15226,1718634667476.104,31.0069,505.526,1230.17,8.66132,9.474320447979641,4378.52245432,39.406702088879996,208236.86658186928,31763910.568269175,529:23.91
15227,1718634667485.1035,31.4,504.207,1234.94,8.65916,9.511057247395058,4366.00908612,39.294081775079995,208276.16066364438,31763919.437052805,529:23.92
15228,1718634667494.1035,30.4345,503.807,1238.23,8.66858,9.536395626866067,4367.29128406,39.30562155654,208315.4662852009,31763928.30583644,529:23.93
15229,1718634667503.1033,28.6,503.593,1237.83,8.67801,9.53331497282704,4370.185089930001,39.33166580937,208354.7979510103,31763937.17462007,529:23.94
15230,1718634667512.103,28.0484,504.367,1231.9,8.353969999999999,9.487644276698441,4213.4667869899995,37.921201082909995,208392.7191520932,31763946.0434037,529:23.95
15231,1718634667521.1028,26.5863,506.087,1222.9,7.94088,9.418329560820295,4018.77613656,36.16898522904,208428.88813732224,31763954.912187334,529:23.95
15232,1718634667530.1023,25.8,506.747,1215.53,7.55305,9.361568510151193,3827.48542835,34.447368855149996,208463.3355061774,31763963.780970965,529:23.96
15233,1718634667539.1023,25.6621,507.204,1214.7,7.18451,9.355176153020208,3644.0122100400004,32.79610989036,208496.13161606775,31763972.6497546,529:23.97
15234,1718634667548.1018,25.4,507.593,1218.4,6.94067,9.383672202881224,3523.03550731,31.707319565789998,208527.83893563354,31763981.51853823,529:23.98
15235,1718634667557.1016,25.4,505.553,1224.4,6.93392,9.429882013466655,3505.46405776,31.549176519839996,208559.3881121534,31763990.387321863,529:23.99
15236,1718634667566.1013,25.4,505.4,1229.93,6.94276,9.472472055556224,3508.870904,31.579838135999996,208590.9679502894,31763999.256105494,529:24.00
15237,1718634667575.101,25.2622,505.75,1233.23,7.063350000000001,9.49788745137821,3572.2892625000004,32.1506033625,208623.1185536519,31764008.124889124,529:24.01
15238,1718634667584.1008,25.0,506.853,1233.07,7.183949999999999,9.496655189762597,3641.20660935,32.770859484149995,208655.88941313606,31764016.99367276,529:24.02
15239,1718634667593.1003,24.7933,506.793,1229.07,7.0902899999999995,9.465848649372312,3593.3093399699997,32.33978405972999,208688.2291971958,31764025.86245639,529:24.03
15240,1718634667602.1003,24.1933,506.89,1225.07,6.97284,9.435042108982024,3534.4628675999998,31.810165808399994,208720.03936300418,31764034.731240023,529:24.03
15241,1718634667611.1,23.8,506.13,1221.3,6.77213,9.406006944664181,3427.5781569,30.8482034121,208750.8875664163,31764043.600023653,529:24.04
15242,1718634667620.0999,23.49,505.97,1219.47,6.53183,9.391912952435625,3304.9100251000004,29.744190225900002,208780.6317566422,31764052.468807284,529:24.05
15243,1718634667629.0996,22.9,506.457,1221.93,6.33397,9.410858974775651,3207.8834442899997,28.870950998609995,208809.50270764082,31764061.337590918,529:24.06
15244,1718634667638.099,22.4179,507.37,1225.93,6.18683,9.441665515165937,3139.0119370999996,28.251107433899996,208837.7538150747,31764070.20637455,529:24.07
15245,1718634667647.099,21.5,507.787,1229.93,6.05899,9.472472055556224,3076.6763551299996,27.690087196169994,208865.4439022709,31764079.075158183,529:24.08
15246,1718634667656.0989,21.3623,508.447,1233.23,5.99464,9.49788745137821,3047.95672408,27.43161051672,208892.8755127876,31764087.943941813,529:24.09
15247,1718634667665.0986,21.582,508.11,1233.77,5.93225,9.502046334330899,3014.2355475,27.1281199275,208920.00363271512,31764096.812725443,529:24.10
15248,1718634667674.0984,22.5,506.5,1233.0,6.04668,9.49611607530577,3062.6434200000003,27.56379078,208947.56742349511,31764105.681509078,529:24.11
15249,1718634667683.098,21.6738,506.64,1232.53,6.1611,9.49249630680991,3121.459704,28.093137335999998,208975.6605608311,31764114.550292708,529:24.11
15250,1718634667692.098,20.1,507.403,1230.3,6.048760000000001,9.475321660542326,3069.1589702800006,27.622430732520005,209003.28299156364,31764123.419076342,529:24.12
15251,1718634667701.0977,20.1,508.61,1226.83,5.8285,9.448596986753751,2964.4333850000003,26.679900465,209029.96289202865,31764132.287859973,529:24.13
15252,1718634667710.0974,20.1,508.997,1222.53,5.60459,9.415479955834194,2852.71949623,25.67447546607,209055.63736749472,31764141.156643603,529:24.14
15253,1718634667719.0972,19.2741,508.0,1220.77,5.377890000000001,9.401925078062469,2731.9681200000005,24.587713080000004,209080.22508057472,31764150.025427237,529:24.15
15254,1718634667728.0967,17.7,507.953,1219.3,5.13565,9.390603674469038,2608.66882445,23.47801942005,209103.70309999477,31764158.894210868,529:24.16
15255,1718634667737.0964,17.0807,508.429,1216.53,4.8422600000000005,9.369270145248764,2461.94540954,22.157508685859998,209125.86060868064,31764167.7629945,529:24.17
15256,1718634667746.096,15.9688,510.616,1214.53,4.55042,9.35386687505362,2323.51725872,20.91165532848,209146.7722640091,31764176.631778132,529:24.18
15257,1718634667755.096,16.1,510.884,1213.47,4.40263,9.345703141850194,2249.2332249200003,20.243099024280003,209167.0153630334,31764185.500561766,529:24.19
15258,1718634667764.0957,17.2007,510.151,1215.93,4.25485,9.364649164190222,2170.61598235,19.53554384115,209186.55090687456,31764194.369345397,529:24.19
15259,1718634667773.0955,19.3,508.767,1221.1,4.63706,9.404466617644665,2359.18310502,21.23264794518,209207.78355481973,31764203.238129027,529:24.20
15260,1718634667782.0952,21.1915,507.348,1230.79,5.07848,9.479095461740133,2576.55667104,23.189010039359996,209230.97256485908,31764212.10691266,529:24.21
15261,1718634667791.0947,24.8,505.41,1242.56,5.82826,9.569743706838551,2945.6608866,26.5109479794,209257.4835128385,31764220.97569629,529:24.22
15262,1718634667800.0947,26.5881,505.937,1252.4,6.81438,9.645527796198657,3447.64697406,31.02882276654,209288.51233560502,31764229.844479926,529:24.23
15263,1718634667809.0945,30.4814,505.051,1257.23,7.7596099999999995,9.68272669371993,3918.99879011,35.270989110989994,209323.783324716,31764238.713263556,529:24.24
15264,1718634667818.0942,31.4,503.947,1256.14,8.57007,9.674331911463575,4318.86106629,38.86974959661,209362.6530743126,31764247.582047187,529:24.25
15265,1718634667827.094,31.5719,504.147,1246.98,9.27177,9.60378493396982,4674.33503019,42.06901527170999,209404.7220895843,31764256.45083082,529:24.26
15266,1718634667836.0935,31.9,504.253,1234.21,9.18762,9.505435053773832,4632.8849478600005,41.69596453074,209446.41805411506,31764265.31961445,529:24.27
15267,1718634667845.0935,31.9,504.007,1224.07,9.10348,9.427340473884454,4588.21764436,41.293958799239995,209487.7120129143,31764274.188398086,529:24.27
15268,1718634667854.0933,31.9,503.747,1222.16,8.94892,9.412630350848094,4507.99160324,40.57192442915999,209528.28393734345,31764283.057181716,529:24.28
